_date,total_clones,unique_clones
2024-12-09,1,1
2024-12-16,15,2
2024-12-17,3,1
2024-12-18,3,2
2024-12-19,1,1
2024-12-20,1,1
2024-12-21,2,2
2024-12-22,1,1
2024-12-23,1,1
2024-12-24,1,1
2024-12-25,1,1
2024-12-26,1,1
2024-12-27,1,1
2024-12-28,1,1
2024-12-29,1,1
2024-12-30,1,1
2024-12-31,1,1
2025-01-01,1,1
2025-01-02,1,1
2025-01-03,1,1
2025-01-04,1,1
2025-01-05,1,1
2025-01-06,2,2
2025-01-07,2,1
2025-01-08,1,1
2025-01-09,1,1
2025-01-10,1,1
2025-01-11,1,1
2025-01-12,1,1
2025-01-13,2,2
2025-01-14,1,1
2025-01-15,1,1
2025-01-16,1,1
2025-01-17,1,1
2025-01-18,1,1
2025-01-19,2,2
2025-01-20,1,1
2025-01-21,1,1
2025-01-22,1,1
2025-01-23,1,1
2025-01-24,1,1
2025-01-25,3,2
2025-01-26,1,1
2025-01-27,1,1
2025-01-28,1,1
2025-01-29,1,1
2025-01-30,2,2
2025-01-31,2,2
2025-02-01,1,1
2025-02-02,2,2
2025-02-03,3,3
2025-02-04,1,1
2025-02-05,1,1
2025-02-06,1,1
2025-02-07,10,4
2025-02-08,2,1
2025-02-09,2,1
2025-02-10,2,1
2025-02-11,3,1
2025-02-12,3,1
2025-02-13,3,2
2025-02-14,3,2
2025-02-15,2,1
2025-02-16,11,6
2025-02-17,6,3
2025-02-18,2,1
2025-02-19,2,1
2025-02-20,2,1
2025-02-21,3,2
2025-02-22,2,1
2025-02-23,3,2
2025-02-24,2,1
2025-02-25,3,2
2025-02-26,2,1
2025-02-27,2,1
2025-02-28,2,1
2025-03-01,2,1
2025-03-02,3,2
2025-03-03,2,1
2025-03-04,2,1
2025-03-05,2,1
2025-03-06,2,1
2025-03-07,3,2
2025-03-08,2,1
2025-03-09,3,2
2025-03-10,2,1
2025-03-11,2,1
2025-03-12,2,1
2025-03-13,2,1
2025-03-14,2,1
2025-03-15,2,1
2025-03-16,2,1
2025-03-17,3,2
2025-03-18,3,2
2025-03-19,2,1
2025-03-20,3,2
2025-03-21,2,1
2025-03-22,2,1
2025-03-23,2,1
2025-03-24,3,2
2025-03-25,2,1
2025-03-26,2,1
2025-03-27,2,1
2025-03-28,2,1
2025-03-29,2,1
2025-03-30,4,3
2025-03-31,2,1
2025-04-01,2,1
2025-04-02,2,1
2025-04-03,2,1
2025-04-04,2,1
2025-04-05,2,1
2025-04-06,2,1
2025-04-07,3,2
2025-04-08,6,3
2025-04-09,25,11
2025-04-10,7,5
2025-04-11,3,2
2025-04-12,2,1
2025-04-13,2,1
2025-04-14,2,1
2025-04-15,2,1
2025-04-16,4,2
2025-04-17,3,2
2025-04-18,2,1
2025-04-19,4,3
2025-04-20,2,1
2025-04-21,2,1
2025-04-22,2,1
2025-04-23,2,1
2025-04-24,2,1
2025-04-25,3,2
2025-04-26,2,1
2025-04-27,2,1
2025-04-28,2,1
2025-04-29,2,1
2025-04-30,2,1
2025-05-01,5,2
2025-05-02,4,2
2025-05-03,2,1
2025-05-04,2,1
2025-05-05,2,1
2025-05-06,2,1
2025-05-07,2,1
2025-05-08,2,1
2025-05-09,2,1
2025-05-10,3,2
2025-05-11,2,1
2025-05-12,3,1
2025-05-13,53,2
2025-05-14,13,9
2025-05-15,5,4
2025-05-16,2,1
2025-05-17,4,3
2025-05-18,2,1
2025-05-19,3,1
2025-05-20,5,3
2025-05-21,10,5
2025-05-22,2,1
2025-05-23,4,1
2025-05-24,7,4
2025-05-25,2,1
2025-05-26,3,2
2025-05-27,5,2
2025-05-28,20,15
2025-05-29,46,39
2025-05-30,13,6
2025-05-31,9,3
2025-06-01,4,2
2025-06-02,11,3
2025-06-03,3,2
2025-06-04,6,3
2025-06-05,4,2
2025-06-06,2,1
2025-06-07,6,4
2025-06-08,2,1
2025-06-09,2,1
2025-06-10,10,4
2025-06-11,6,2
2025-06-12,23,3
2025-06-13,1,1
2025-06-14,11,3
2025-06-15,9,5
2025-06-16,39,7
2025-06-17,35,9
2025-06-18,6,5
2025-06-19,10,7
2025-06-20,1,1
2025-06-21,4,3
2025-06-22,6,5
2025-06-23,7,7
2025-06-24,7,3
2025-06-25,12,7
2025-06-26,6,4
2025-06-27,3,2
2025-06-28,5,4
2025-06-29,8,4
2025-06-30,8,4
2025-07-01,1,1
2025-07-02,3,2
